NAME,LON,LAT
Notolepis coatsorum,60.03333333,-64.4
Notolepis coatsorum,59.96666667,-62.65
Notolepis coatsorum,44.98333333,-63.33333333
Notolepis coatsorum,45,-65.35
Notolepis coatsorum,39.9,-66.63333333
Notolepis coatsorum,40.06666667,-63.33333333
Notolepis coatsorum,34.93333333,-65.33333333
Notolepis coatsorum,35.9,-66.58333333
Notolepis coatsorum,35.48333333,-67.73333333
Notolepis coatsorum,35.65,-67.75
Notolepis coatsorum,32.76666667,-67.83333333
Notolepis coatsorum,38.41666667,-67.51666667
Notolepis coatsorum,39.35,-67.5
Notolepis coatsorum,38.98333333,-67.5
Notolepis coatsorum,40.18333333,-67.4
Notolepis coatsorum,40.03333333,-67.41666667
Notolepis coatsorum,40.9,-67.2
Notolepis coatsorum,40.95,-67.25
Notolepis coatsorum,41,-66.46666667
Notolepis coatsorum,41.03333333,-66.51666667
Notolepis coatsorum,45.13333333,-65.98333333
Notolepis coatsorum,71.4,-66.2
Notolepis coatsorum,71.41666667,-66.25
Notolepis coatsorum,71.4,-66.15
Notolepis coatsorum,70.98333333,-66.4
Notolepis coatsorum,70.96666667,-66.41666667
Notolepis coatsorum,70,-68.4
Notolepis coatsorum,70.53333333,-67.93333333
Notolepis coatsorum,70.58333333,-67.83333333
Notolepis coatsorum,71.21666667,-66.03333333
Notolepis coatsorum,72.6,-66.88333333
Notolepis coatsorum,70.31666667,-68.03333333
Notolepis coatsorum,73.31666667,-67.11666667
Notolepis coatsorum,75.63333333,-69.26666667
Notolepis coatsorum,67.83333333,-67.3
Notolepis coatsorum,68.1,-67.75
Notolepis coatsorum,67.08333333,-66.53333333
Notolepis coatsorum,76.13333333,-68.66666667
Notolepis coatsorum,73.08333333,-67.88333333
Notolepis coatsorum,71.41666667,-66.81666667
Notolepis coatsorum,-62.57136,-64.57678
Notolepis coatsorum,-62.23618,-64.58241
Notolepis coatsorum,-58.76833,-62.26407
Notolepis coatsorum,-46.33,-60.1
Notolepis coatsorum,-46.3,-60.17
Notolepis coatsorum,-59.03,-61.59
Notolepis coatsorum,-46.25,-60.21
Notolepis coatsorum,-47.1,-60.41
Notolepis coatsorum,-47.08,-60.49
Notolepis coatsorum,-47.03,-60.25
Notolepis coatsorum,-47,-60.25
Notolepis coatsorum,-47.14,-60.44
Notolepis coatsorum,-46.41,-60.15
Notolepis coatsorum,-46.4,-60.17
Notolepis coatsorum,72.662,-50.701
Notolepis coatsorum,-46.826567,-61.04786
Notolepis coatsorum,-44.61707,-60.49655
Notolepis coatsorum,-52.385758,-63.01815
Notolepis coatsorum,139.9921,-62.98633
Notolepis coatsorum,139.990005,-61.970001
Notolepis coatsorum,177.21475,-72.8
Notolepis coatsorum,175.795083,-72.065417
Notolepis coatsorum,173.301333,-71.929917
Notolepis coatsorum,173.39425,-72.002833
Notolepis coatsorum,175.582917,-72.088917
Notolepis coatsorum,173.237417,-72.003083
Notolepis coatsorum,174.071417,-71.872833
Notolepis coatsorum,174.104,-71.897
Notolepis coatsorum,174.87175,-71.328417
Notolepis coatsorum,142.9149,-65.43966
Notolepis coatsorum,139.9842,-63.9776
Notolepis coatsorum,143.2537,-65.67724
Notolepis coatsorum,-179.38425,-68.12525
Notolepis coatsorum,-179.62925,-67.847083
Notolepis coatsorum,-179.247167,-68.118083
Notolepis coatsorum,-178.811,-67.617833
Notolepis coatsorum,-179.841583,-67.37675
Notolepis coatsorum,170.85425,-66.986
Notolepis coatsorum,171.2615,-66.832083
Notolepis coatsorum,171.07525,-66.950333
Notolepis coatsorum,171.3285,-66.6982
Notolepis coatsorum,-57.7105,-62.67733
Notolepis coatsorum,76.35233,-52.71983
Notolepis coatsorum,171.964333,-71.480833
Notolepis coatsorum,171.092333,-71.155333
Notolepis coatsorum,171.174167,-71.156167
Notolepis coatsorum,165.263667,-67.422833
Notolepis coatsorum,162.4415,-66.216167
Notolepis coatsorum,162.541833,-66.359833
Notolepis coatsorum,162.267333,-66.175333
Notolepis coatsorum,162.013,-66.1195
Notolepis coatsorum,161.044,-65.493167
Notolepis coatsorum,-59.233,-62.3
Notolepis coatsorum,-60.683,-62.98
Notolepis coatsorum,71.567,-49.2
Notolepis coatsorum,71.633,-49.167
Notolepis coatsorum,71.417,-49.1
Notolepis coatsorum,71.667,-49.15
Notolepis coatsorum,71.85,-48.183
Notolepis coatsorum,74.683,-47.1
Notolepis coatsorum,72.95,-49.233
Notolepis coatsorum,73.917,-49.45
Notolepis coatsorum,73.883,-49.983
Notolepis coatsorum,71.583,-48.333
Notolepis coatsorum,71.95,-49.167
Notolepis coatsorum,71.217,-48.3
Notolepis coatsorum,71.7,-48.833
Notolepis coatsorum,71.233,-49.15
Notolepis coatsorum,71.883,-48.833
Notolepis coatsorum,71.95,-48.833
Notolepis coatsorum,71.867,-49.167
Notolepis coatsorum,71.367,-48.817
Notolepis coatsorum,71.817,-48.85
Notolepis coatsorum,71.317,-49.167
Notolepis coatsorum,-69.5312,-65.3673
Notolepis coatsorum,-67.7015,-64.8563
Notolepis coatsorum,-66.2676,-64.2122
Notolepis coatsorum,-66.2408,-64.2006
Notolepis coatsorum,-72.65626,-67.97748
Notolepis coatsorum,-65.6275,-64.4422
Notolepis coatsorum,-66.578,-64.0823
Notolepis coatsorum,-70.75678,-66.10677
Notolepis coatsorum,71.1333313,-49.21666718
Notolepis coatsorum,71.34999847,-49.5
Notolepis coatsorum,72,-48.18333435